username,followers,created_at,tweet_text
SpotdlyData,11,2020-03-24 12:47:52,More brand responses to #COVID2019 Amazing!! 🤩 #Coronavirus #Branding @lidl_ireland launching a recruiting campaign… https://t.co/J5JnxJg6Ap
ConceptTVNews,62,2020-03-24 12:47:47,The Pakistan Ulema Council called on the masses to heed the govt safety precautions and stay at home to avoid the v… https://t.co/hpIGEIh1dq
RT_MediaAdvPbCM,6975,2020-03-24 12:47:46,.@capt_amarinder announces slew of measures to ease people’s problems during #COVID2019 curfew in Punjab. DCs asked… https://t.co/2Pt5rXckir
Nehal_singh21,14,2020-03-24 12:47:45,"Stay Home. Stay safe. 
Don't make chaos for government. 
we are fighting very hard and we will win this.… https://t.co/CuTH3IByOQ"
issupnet,863,2020-03-24 12:47:44,"First ISAM Webinar on COVID-19 and Substance Use Disorders, 23 March 2020 https://t.co/yur5XUlEJB 
#COVID19… https://t.co/4ffQwrk5qs"
prolucid,460,2020-03-24 12:47:43,"The benefits of Tele-medicine during an outbreak.

#COVID19 #Telemedicine #COVID2019 https://t.co/mhbQJVAol4"
shahanalam123,50,2020-03-24 12:47:42,WHAT A BULLSHIT MEDIA PERSONS #COVID19Pakistan #COVIDIDIOTS #COVID2019 #JaahilMedia #mediatalk
ludzbunjenn,49,2020-03-24 12:47:41,"#NATO vs #COVID2019 
Za sad Nato vodi 2500 : 3
For now NATO leads 2500:3
@BBCWorld @N1infoBG @veceivan… https://t.co/thK8kFCv6A"
rajeshrana222,236,2020-03-24 12:47:40,"Lobby at work

An imposter joined Twitter disguised as a Doctor 

Followed by Anti Modi Brigade 

Tweets retweeted… https://t.co/MhNmOoTX1j"
TOIHyderabad,45196,2020-03-24 12:47:35,#CoronavirusUpdates || #Telangana health department to issue ID cards to those working for containing #COVID2019  t… https://t.co/Fjwbhpxv5e
shrua_sharma,3244,2020-03-24 12:47:34,NRI are big threat for India and NRN are in Nepal!!#COVID2019
Jason_kobi,212,2020-03-24 12:47:34,What skills do you think will survive #COVID2019 and thrive long after it’s time? Did I miss something?
DDUttarPradesh,3044,2020-03-24 12:47:33,"PLEASE RETWEET-
Watch special programme on #COVID19, this evening from 7 pm onward on @DDNewslive and Live-Stream o… https://t.co/AgPESYOEoV"
NucSafetyUCS,760,2020-03-24 12:47:27,More concerns about workforce safety at Plant Vogtle from an employee. #COVID2019 #nuclear https://t.co/vF4xuMQgME
shaniabdulbasit,112,2020-03-24 12:47:26,@Edem41313827 @JustNanaAma Building our healthcare system is not an event it is a process.We cant wait to build a r… https://t.co/WrAZmfzkYY
JaweriaSheikh4,278,2020-03-24 12:47:23,Erdogan’s plan has expanded to Libya since February 2020 with the signing of two agreements with the Libyan Governm… https://t.co/XwTq5Yliok
httpdk9793,704,2020-03-24 12:47:19,"#COVID2019 #LockdownNow
In Jesus name! We will be free from this.

ctto https://t.co/jtzx9jCNEb"
heartbeatrrr,11,2020-03-24 12:47:17,"Stay at home and stay safe..
Draw by : @heartbeatrrr
Social distance : make 6 ft distance or Die
Choice is yours...… https://t.co/Dtzy59Kic8"
TehreemSikanda3,668,2020-03-24 12:47:16,"@PraetorianHorse @INFANTRY28 @ImranKhanPTI @OfficialDGISPR @SHABAZGIL Sir story is not that simple, her husband hz… https://t.co/7Kw95Oh7Ba"
ameywarude,252,2020-03-24 12:47:03,"After #ChineseVirusCorona #COVID2019 now it's #Hantavirus made in #China 
Time to #bomb the entire #China now!! 
Hu… https://t.co/uwAjDJXXlY"
girish_trivedi,1390,2020-03-24 12:47:00,#COVID2019 has disrupted both demand &amp; supply side of the global #smartphone market - Despite tentative signs of re… https://t.co/MRmFwnH3CV
Rajj1999,323,2020-03-24 12:46:58,"Tik Tok Corona Special 

Video link ▶️https://t.co/jQWcF0uQ3X👈

Please see And be relaxed🤫🤫🤫

#Corona #CoronaAlert… https://t.co/J39a4aWO58"
SandrineGissa,148,2020-03-24 12:46:58,Quarantine got me like #StayAtHomeChallenge #LockdownNow #COVID2019 #rwandandproud https://t.co/BWX3B9PIuY
whoopthatsme,62,2020-03-24 12:46:56,"🗯 WE ARE THE PEOPLE! 🗯POSTPONE 2020 now !! 📢

#CoronaPandemic #coronaPandemie #COVID19 #COVID2019 #BreakingNews https://t.co/uNIsqbAmrP"
yasir_umair,529,2020-03-24 12:46:55,"These TV anchors went to expose the govt. , are exposing their own intellect &amp; seriousness about #COVID2019"
thatstevecena,3453,2020-03-24 12:46:55,https://t.co/N4HuE2nUHo @realDonaldTrump @potus Don't silence #DrFauci. Your pride is going to get people killed.… https://t.co/SRrONXjVel
zama003,19,2020-03-24 12:46:53,"I think every medical workers and Super market staffs should get a extra benefits after this crisis over.
#SriLanka… https://t.co/Zzo76OgFIm"
kollen_jim,94,2020-03-24 12:46:50,@guardianeco This article perfectly summarises why an immediate shut down of animal agriculture and the trade in wi… https://t.co/M9kAvMUI5o
shanewebguy,3420,2020-03-24 12:46:47,"Probably a safe move postponing the #TokyoOlympics #TokyoOlympics #TokyoOlympics2020 , looking forward to a safe… https://t.co/KU7YkCeISb"
sanammgk,29,2020-03-24 12:46:44,How r yall coping with the #quarantinelife? Would love to hear your thoughts in 2-3 poetic lines. Just getting bore… https://t.co/0KIGETbdcf
akhileshkv7,173,2020-03-24 12:46:41,"They take care of us, pls take care of them #COVID2019 #covidindia https://t.co/04AKSKHmUS"
Digvijay_Bisht,208,2020-03-24 12:46:41,Thank you for such a wonderful talk. I hope the wisdom shared by @antonioguterres helps us all in our fight and vig… https://t.co/WunLwG4kI7
teck4you360,2,2020-03-24 12:46:29,"#CoronavirusLockdown Due to corona virus, our city has been locked down.I do not know how many days this virus will… https://t.co/A9ymOmzFz2"
AlexGabuev,8956,2020-03-24 12:46:29,All you wanted to know about #COVID2019 in Russia from@a team of my stellar @CarnegieRussia colleagues 👇🏻 https://t.co/XHLaqNhC6k
thejoerae,420,2020-03-24 12:46:26,weird - it's been like two days since I received an email from some random company's mailing list detailing their… https://t.co/1eycmwZVOd
HakeemIrfan,1679,2020-03-24 12:46:23,@JmuKmrPolice chief Dilbag Singh in a meeting in Jammu said that “police personnel or their relatives who have inte… https://t.co/DF1il6hkLn
markyexplorer01,582,2020-03-24 12:46:21,@jm_lago Praying for your dad and the rest of frontliners. God is with them throughout this #COVID2019 pandemic.
sreejithmoolayl,875,2020-03-24 12:46:17,"This guy has been doing 62 trips a minute 7 hrs  day for last 5 days. All this to build a home for 2 months  

Watc… https://t.co/M4yV1VnPpD"
JodysJody,120,2020-03-24 12:46:17,Working remotely doesn’t mean I can’t be stylin. Orange always works. #COVID2019 #SocialDistancing https://t.co/6oen4HrIRa
JaliliOmran,165,2020-03-24 12:46:11,"@sallymrf1 @WHO
NO for discrimination
#COVID2019"
jesserbnwtz,2069,2020-03-24 12:46:05,"If I die from #COVID2019, just drop my body on the steps of the White House."
Domi_Saket,1,2020-03-24 12:46:04,"Life is a series of choice.
Better the choice, better will be the future.
Choose to be home.
#StayHomeIndia #COVID2019 #CoronavirusLockdown"
Imad45196514,1,2020-03-24 12:46:01,Imagine such questions being asked from #NawazSharif  and #Zardari by #raufklasra @KlasraRauf @MalickViews #malick… https://t.co/F93ZlLrFto
codefingers,133,2020-03-24 12:45:58,"During the #Quarantine Grow - for that’s what all living things do..🌸

 #Hantavirus #corona #Covid19Out… https://t.co/bQrAWiVcQp"
kyochoi1,1634,2020-03-24 12:45:55,"I’m not there yet w my kids, so gutted for our young adults abt to graduate from vocational colleges, universities,… https://t.co/DS5KDZz6Y0"
karynmusic1,128,2020-03-24 12:45:47,"This is what our lives have come to.

A trip to the store is the biggest adventure of the week and a source of conv… https://t.co/aHLwIwxBbZ"
MassimoBenetti7,9,2020-03-24 12:45:47,Last week it was #Batsoup This week fried Rats #Hantavirus #StopChina #COVID2019 #CoronaVirusUpdate https://t.co/0VW0HaorsX
KathyHeinaman,180,2020-03-24 12:45:45,@MylanNews to restart production of possible COVID-19 drug at its Morgantown #WV plant - #COVID2019… https://t.co/N98jlNRu9g
Vinamralongani,2795,2020-03-24 12:45:31,"India is an extremely large source market for Thailand's tourism industry. 
@ThaiAirways suspending flights for the… https://t.co/6mpbwvXHma"
berozgaaaaar,0,2020-03-24 12:45:30,"I found the remedy for this ..
#StayAtHomeSaveLives #StayHomeIndia #COVID2019 #TuesdayThoughts #lockdown https://t.co/xFtxXdusow"
ytabloid,6303,2020-03-24 12:45:25,#BREAKING: All local and international flights (excluding those to Musandam) will be suspended. A Medical and Gener… https://t.co/tPJlESvGoU
Itz_Kwakwa,25481,2020-03-24 12:45:20,"Do you know this video contains all the details of not getting coronavirus #COVID2019? Just watch 

https://t.co/nqGQeVxOy5"
beachydreamer,2312,2020-03-24 12:45:18,"🤬💔😢...#COVIDIDIOTS, f*ck this breaks my heart!!! #COVID2019

Elderly woman breaks down in tears after staring at em… https://t.co/XwawWc0x22"
SpiritHealthMag,27307,2020-03-24 12:45:16,"Kids stuck at home? Here are some ways to keep them mentally and physically fit. 

https://t.co/mHubx8tKEZ… https://t.co/WBMArEX5vN"
